SUB_TYPE,APPLICANT_ORGANIZATION,IN_DATE,ISSUE_DATE
Advertising Sound Amplification,Holy Mountain,2/8/2013,3/29/2013
Outdoor Music Venue,,4/6/2021,5/7/2021
Concrete Pouring,JE Dunn,9/28/2023,9/28/2023
Outdoor Music Venue,,10/8/2021,
Concrete Pouring,DPR Construction,3/5/2019,3/6/2019
Outdoor Music Venue,Jollyville Bar and Gill,4/11/2011,5/20/2011
Concrete Pouring,JE Dunn Construction,7/15/2015,7/15/2015
Outdoor Music Venue,Zed's Restaurants LP,8/13/2015,10/16/2015
Outdoor Music Venue,,12/3/2014,1/18/2015
Outdoor Music Venue,Hotel Vegas,2/14/2020,3/1/2022
Outdoor Music Venue,,10/28/2015,12/2/2015
Moving Vehicle,,10/27/2014,10/27/2014
Outdoor Music Venue,"J. Black's, LP",6/11/2012,9/10/2012
Concrete Pouring,Ryan Companies US INC,1/10/2020,1/13/2020
Concrete Pouring,Keystone Concrete Placement,4/22/2024,4/22/2024
Advertising Sound Amplification,TMF X 4,10/6/2015,10/7/2015
Concrete Pouring,JE Dunn Construction,6/10/2020,6/10/2020
Concrete Pouring,Holder Construction Company,10/4/2019,10/4/2019
Private Sound Amplification,Freescale Semiconductor,6/4/2015,6/19/2015
Concrete Pouring,"United Forming, Inc.",5/25/2016,5/25/2016
Outdoor Music Venue,,4/1/2010,5/20/2010
Concrete Pouring,JE Dunn Construction,9/11/2020,9/11/2020
Outdoor Music Venue,Home Slice Pizza,10/23/2014,11/12/2014
Advertising Sound Amplification,Bird's Barbershop,10/31/2012,11/1/2012
Outdoor Music Venue,"Shady Grove, Inc.",3/21/2013,4/10/2013
Outdoor Music Venue,,2/10/2016,3/14/2016
Government Amplified Sound,Sole Success dba Parent Rise,9/23/2009,9/23/2009
Concrete Pouring,Ryan Companies US INC,5/6/2020,5/6/2020
Advertising Sound Amplification,Kick Butt Coffee LLC,4/19/2017,5/18/2017
Concrete Pouring,McClone Construction Company,11/3/2020,11/6/2020
Advertising Sound Amplification,High Beams Events,2/25/2016,3/2/2016
Concrete Pouring,JE Dunn Construction,2/24/2021,2/24/2021
Outdoor Music Venue,,8/31/2017,3/14/2018
Concrete Pouring,Keystone Concrete Placement,11/20/2023,11/20/2023
Private Sound Amplification,Duty Now For The Future,5/22/2019,5/31/2019
Concrete Pouring,"Greystar Development & Construction, LP",3/3/2022,3/4/2022
