SUB_TYPE,APPLICANT_ORGANIZATION,IN_DATE,ISSUE_DATE
Outdoor Music Venue,Craig Nasso Architects,1/25/2016,2/22/2016
Concrete Pouring,JE Dunn Construction,8/3/2015,8/3/2015
Concrete Pouring,The Beck Group,8/11/2022,8/11/2022
Advertising Sound Amplification,LEADDOG MARKETING,3/4/2019,3/6/2019
Government Amplified Sound,Austin Community Festival,8/16/2012,8/16/2012
Advertising Sound Amplification,,10/26/2016,10/26/2016
Outdoor Music Venue,,3/6/2020,12/4/2020
Private Sound Amplification,GSD&M,10/11/2011,10/11/2011
Concrete Pouring,Capform Inc,3/15/2018,3/15/2018
Concrete Pouring,Austin Commercial,7/11/2019,7/11/2019
Outdoor Music Venue,,3/10/2017,4/11/2017
Government Amplified Sound,HOLY CROSS LUTHERAN CHURCH,10/13/2009,10/13/2009
Outdoor Music Venue,,2/28/2024,5/12/2024
Concrete Pouring,"Balfour Beatty Construction, LLC",11/21/2014,11/21/2014
Concrete Pouring,Ryan Companies US INC,2/3/2020,2/3/2020
Concrete Pouring,JE Dunn,11/23/2022,11/28/2022
Concrete Pouring,Keystone Concrete Placement,10/4/2023,10/5/2023
Outdoor Music Venue,,11/7/2017,2/28/2018
Government Amplified Sound,Food Allergy & Anaphylaxis Network,9/17/2012,9/19/2012
Concrete Pouring,JE Dunn Construction,4/9/2024,4/9/2024
Outdoor Music Venue,"AUSTIN SYMPHONY OCHESTRE SOCIETY, INC.",2/15/2012,3/7/2012
Outdoor Music Venue,92 Rainey Group LLC,4/22/2021,11/5/2021
Concrete Pouring,W Hotels,1/11/2010,1/11/2010
Concrete Pouring,Keystone Concrete Placement,5/9/2023,5/9/2023
Advertising Sound Amplification,Hotel Vegas,7/2/2014,7/10/2014
Concrete Pouring,Hensel Phelps Construction,2/24/2020,2/25/2020
Concrete Pouring,Baker Concrete Construction,10/12/2021,10/12/2021
Concrete Pouring,,8/23/2012,8/23/2012
Concrete Pouring,Baker Concrete Construction,11/22/2021,11/22/2021
Concrete Pouring,Holder Construction Company,10/28/2019,10/28/2019
Advertising Sound Amplification,Cristo Rey Catholic Church,3/18/2016,3/18/2016
Outdoor Music Venue,Hangar Lounge,10/11/2013,11/14/2013
Moving Vehicle,High Beam Events,3/13/2013,
Moving Vehicle,,8/4/2014,8/5/2014
Concrete Pouring,RSI Concrete,6/8/2022,6/8/2022
Outdoor Music Venue,"Guero's Restaurant, Inc.",9/26/2024,12/27/2024
Advertising Sound Amplification,,1/29/2019,1/29/2019
Private Sound Amplification,Great Hills Country Club,9/30/2020,
Advertising Sound Amplification,"DC + CJ Holdings, LP",4/30/2012,4/30/2012
Advertising Sound Amplification,High Beams Events,3/10/2015,3/11/2015
Concrete Pouring,Capform Inc,7/11/2013,7/11/2013
Concrete Pouring,Capform Inc,1/29/2024,1/29/2024
Advertising Sound Amplification,The Dog & Duck Pub,3/15/2011,3/22/2011
Concrete Pouring,JE Dunn Construction,4/19/2021,4/19/2021
Advertising Sound Amplification,The Ginger Man,2/10/2015,3/9/2015
Concrete Pouring,JE Dunn,9/20/2023,9/20/2023
Concrete Pouring,Capform Inc,12/19/2014,
Moving Vehicle,CanWeNetwork LLC,3/4/2013,3/4/2013
Advertising Sound Amplification,Palazio Men's Club,6/9/2015,6/9/2015
Advertising Sound Amplification,Front Gate Ticket Solutions LLC,3/3/2015,3/6/2015
Advertising Sound Amplification,,3/7/2012,
Outdoor Music Venue,,9/8/2015,10/25/2015
Outdoor Music Venue,,12/6/2019,1/20/2020
Outdoor Music Venue,,5/5/2021,7/1/2021
Concrete Pouring,Gilbane,3/2/2017,3/2/2017
Advertising Sound Amplification,Lustre Pearl,2/18/2010,3/16/2010
Concrete Pouring,McClone Construction Company,6/15/2021,6/16/2021
Concrete Pouring,DPR Construction,9/18/2017,9/18/2017
Outdoor Music Venue,"Freedman's, LLC",11/9/2011,
Concrete Pouring,DPR Construction,7/7/2023,7/10/2023
Concrete Pouring,Austin Commercial,2/8/2018,2/8/2018
Advertising Sound Amplification,Perla's Seafood & Oyster Bar,4/14/2011,4/14/2011
Concrete Pouring,Austin Commercial,6/12/2017,6/12/2017
Concrete Pouring,Ryan Companies US INC,6/10/2020,6/10/2020
Moving Vehicle,Heroinside.org,2/21/2014,2/27/2014
Concrete Pouring,JE Dunn,5/5/2023,5/5/2023
Concrete Pouring,,6/3/2015,6/3/2015
Concrete Pouring,SJL CONST OF TX LTD,2/11/2014,2/11/2014
Outdoor Music Venue,Friends Bar,2/14/2017,3/14/2017
Concrete Pouring,Beck Commercial Construction LLC,8/9/2016,8/9/2016
Government Amplified Sound,Dogtoberfest Austin,9/4/2015,10/12/2015
Concrete Pouring,HARVEY CLEARY BUILDERS,5/2/2018,
Concrete Pouring,DPR Construction,7/21/2021,7/21/2021
Outdoor Music Venue,,10/14/2021,2/28/2022
Private Sound Amplification,The Electric Company,5/23/2019,
Concrete Pouring,Austin Commerical LP,8/13/2015,8/13/2015
Outdoor Music Venue,"Pluckers-Austin, No. 4, LP",6/8/2010,8/6/2010
Outdoor Music Venue,Brazos Hall LLC,10/25/2012,4/3/2013
Private Sound Amplification,,10/15/2009,10/15/2009
Advertising Sound Amplification,Gypsy Lounge,7/7/2011,7/8/2011
Concrete Pouring,Keystone Concrete Placement,12/5/2022,12/5/2022
Outdoor Music Venue,,1/27/2015,3/6/2015
Concrete Pouring,Gilbane,10/9/2017,10/9/2017
Concrete Pouring,Hensel Phelps Construction,2/26/2021,2/26/2021
Private Sound Amplification,,10/2/2012,10/8/2012
Advertising Sound Amplification,,6/12/2018,7/12/2018
Advertising Sound Amplification,Shake Shack,9/30/2015,10/5/2015
Outdoor Music Venue,"The Eastern,LLC",5/10/2011,
Concrete Pouring,DPR Construction,11/22/2023,11/27/2023
Concrete Pouring,DPR Construction,9/14/2022,9/14/2022
Concrete Pouring,Capform Inc,8/16/2018,8/16/2018
Concrete Pouring,Gilbane,6/15/2017,6/15/2017
Concrete Pouring,DPR Construction,11/26/2018,11/26/2018
Government Amplified Sound,St. Elias Orthodox Church,9/22/2011,9/22/2011
Concrete Pouring,JE Dunn Construction,3/18/2024,3/18/2024
Outdoor Music Venue,,2/3/2015,3/8/2015
Concrete Pouring,JE Dunn Construction,2/28/2022,2/28/2022
Moving Vehicle,CanWeNetwork LLC,1/16/2014,1/21/2014
Concrete Pouring,Capform Inc,3/6/2013,3/6/2013
Concrete Pouring,Gilbane,2/9/2018,2/9/2018
Concrete Pouring,DPR Construction,1/29/2024,1/30/2024
Advertising Sound Amplification,,10/12/2012,10/19/2012
Advertising Sound Amplification,SXSW LLC,3/3/2015,3/9/2015
Government Amplified Sound,Octopus Club/AIDS Services of Austin,4/9/2015,4/10/2015
Concrete Pouring,Largo Concrete,1/21/2022,1/21/2022
Outdoor Music Venue,Heard Entertainment Texas  LLC,1/21/2020,2/10/2020
Outdoor Music Venue,Girard Diversified,2/14/2023,3/8/2023
Concrete Pouring,Baker Concrete Construction,2/17/2022,2/17/2022
Concrete Pouring,JE Dunn,2/6/2023,2/6/2023
Advertising Sound Amplification,318 Fifth L P,1/21/2016,3/15/2016
Advertising Sound Amplification,,4/19/2018,4/19/2018
Private Sound Amplification,Imprint Projects,5/17/2019,5/17/2019
Private Sound Amplification,Duty Now For The Future,10/25/2019,
Concrete Pouring,TAS Commercial Concrete Construction LLC,2/5/2021,2/5/2021
Outdoor Music Venue,J Blacks LP,1/12/2016,2/28/2016
Outdoor Music Venue,,2/20/2013,3/8/2013
Outdoor Music Venue,Little Woodrow's,3/15/2021,5/14/2021
Concrete Pouring,DPR Construction,4/14/2023,4/14/2023
Concrete Pouring,JE Dunn Construction,6/29/2023,6/29/2023
Outdoor Music Venue,Hotel Vegas,5/25/2021,3/11/2022
Concrete Pouring,Rogers Obrien Const Co,8/27/2019,8/27/2019
Concrete Pouring,Beck Commercial Construction LLC,7/9/2015,7/9/2015
Concrete Pouring,DPR Construction,6/29/2020,6/29/2020
Public Sound Amplification,Austin Police Community Liaison Corporation,6/24/2015,7/7/2015
Concrete Pouring,Rogers Obrien Const Co,10/15/2019,10/15/2019
Concrete Pouring,DPR Construction,4/28/2023,5/1/2023
Advertising Sound Amplification,COWBOY HARLEY-DAVIDSON OF AUSTIN,9/14/2011,
Advertising Sound Amplification,,4/19/2016,4/19/2016
Outdoor Music Venue,,11/9/2020,12/18/2020
Outdoor Music Venue,3XM Ventures LLC,2/7/2017,6/7/2017
Outdoor Music Venue,,2/19/2015,2/3/2016
Concrete Pouring,DPR Construction,6/12/2023,6/12/2023
Advertising Sound Amplification,Dobie Center,4/7/2014,4/9/2014
Concrete Pouring,"Greystar Development & Construction, LP",6/15/2022,6/15/2022
Concrete Pouring,JE Dunn,10/7/2022,10/10/2022
Outdoor Music Venue,,11/19/2013,2/19/2014
Outdoor Music Venue,,12/4/2020,12/31/2020
Concrete Pouring,"Balfour Beatty Construction, LLC",11/10/2014,11/10/2014
Concrete Pouring,Spawglass Contractors Inc,6/1/2023,6/1/2023
Concrete Pouring,JE Dunn,11/1/2022,11/1/2022
Concrete Pouring,W Hotels,9/3/2009,9/3/2009
Private Sound Amplification,CBJS CHINATOWN CENTER LLC,2/20/2018,2/20/2018
Concrete Pouring,Austin Commercial,5/1/2017,5/1/2017
Outdoor Music Venue,,1/23/2025,
Concrete Pouring,"Greystar Development & Construction, LP",7/28/2022,7/28/2022
Government Amplified Sound,Chinmaya Mission Austin,6/11/2015,
Concrete Pouring,DPR Construction,4/13/2020,4/13/2020
Concrete Pouring,Tribble & Stephens Construction,10/8/2014,10/8/2014
Outdoor Music Venue,,2/10/2017,4/4/2017
Outdoor Music Venue,Rose Room Restaurant LLC,6/16/2017,2/16/2018
Outdoor Music Venue,Revival Public House,2/17/2015,3/10/2015
Concrete Pouring,DPR Construction,12/27/2018,12/27/2018
Concrete Pouring,,6/6/2016,6/6/2016
Outdoor Music Venue,,2/16/2018,3/9/2018
Concrete Pouring,Hensel Phelps Construction,7/20/2020,7/20/2020
Outdoor Music Venue,TRACE AT W AUSTIN,2/20/2013,3/11/2013
Outdoor Music Venue,,2/2/2024,3/9/2024
Outdoor Music Venue,Rabbit's Lounge,10/23/2009,11/25/2009
Concrete Pouring,"Balfour Beatty Construction, LLC",8/11/2015,8/11/2015
Outdoor Music Venue,Vortex Repertory Company,3/3/2010,
Outdoor Music Venue,"Guero's Restaurant, Inc.",6/21/2011,7/29/2011
Concrete Pouring,United Forming Inc.,4/23/2012,4/23/2012
Private Sound Amplification,Fueld Films Inc,3/6/2017,3/9/2017
Concrete Pouring,DPR Construction,12/27/2017,12/27/2017
Concrete Pouring,Capform Inc,4/23/2018,4/23/2018
Concrete Pouring,Austin Commerical LP,5/6/2015,5/6/2015
Concrete Pouring,DPR Construction,9/29/2023,9/29/2023
Concrete Pouring,JE Dunn,3/15/2023,3/17/2023
Concrete Pouring,United Forming Inc,6/16/2014,6/16/2014
Advertising Sound Amplification,Hot Luck Festival LLC,5/17/2017,
Concrete Pouring,Capform Inc,11/28/2017,11/28/2017
Concrete Pouring,Keystone Concrete Placement,8/11/2020,8/11/2020
Advertising Sound Amplification,St. Vincent de Paul Stores of Austin/Freebirds Music,2/28/2011,3/22/2011
Concrete Pouring,Austin Commerical LP,8/19/2015,8/19/2015
Concrete Pouring,Gilbane,12/8/2017,12/8/2017
Government Amplified Sound,Rainforest Partnership,3/17/2010,3/17/2010
Concrete Pouring,Keystone Concrete Placement,8/21/2023,8/21/2023
Concrete Pouring,JE DUNN Construction,12/30/2019,12/30/2019
Advertising Sound Amplification,Equinox Mish Mash,2/15/2011,3/22/2011
Concrete Pouring,Beck Commercial Construction LLC,11/17/2015,11/17/2015
Outdoor Music Venue,THE DOGWOOD,5/11/2022,6/21/2022
Concrete Pouring,JE Dunn,2/12/2024,2/12/2024
Concrete Pouring,DPR Construction,4/18/2023,4/18/2023
Outdoor Music Venue,The Blackheart,11/23/2015,1/13/2016
Advertising Sound Amplification,Pop2Life,1/6/2017,
Concrete Pouring,"Austin Commercial, LP",1/30/2017,1/30/2017
Concrete Pouring,Capform Inc,2/9/2023,2/9/2023
Outdoor Music Venue,THE DOGWOOD,3/9/2020,6/16/2020
Outdoor Music Venue,,2/1/2024,2/20/2024
Concrete Pouring,DPR Construction,4/5/2019,4/5/2019
Concrete Pouring,DPR Construction,9/19/2018,9/19/2018
Outdoor Music Venue,Frape Inc,5/27/2015,7/22/2015
Outdoor Music Venue,,11/23/2016,12/9/2016
Concrete Pouring,JE Dunn,8/16/2023,8/16/2023
Concrete Pouring,United Forming Inc,9/22/2014,9/22/2014
Concrete Pouring,,11/8/2021,11/10/2021
Concrete Pouring,JE Dunn Construction,3/16/2022,3/17/2022
Outdoor Music Venue,,1/11/2021,
Concrete Pouring,Largo Concrete,7/9/2020,7/9/2020
Concrete Pouring,Capform Inc,12/4/2017,12/4/2017
Concrete Pouring,Keystone Concrete Placement,5/7/2021,5/7/2021
Concrete Pouring,Rogers Obrien Const Co,3/2/2020,3/3/2020
Outdoor Music Venue,Cheer Up Charlies LLC,7/19/2012,8/17/2012
Concrete Pouring,Capform,6/13/2024,6/14/2024
Advertising Sound Amplification,,1/29/2014,2/13/2014
Outdoor Music Venue,2905 Pearce Road LLC,3/19/2013,5/6/2013
Concrete Pouring,DPR Construction,12/22/2023,12/22/2023
Concrete Pouring,Capform Inc,11/6/2023,11/6/2023
Concrete Pouring,Baker Concrete Construction,11/9/2021,11/9/2021
Concrete Pouring,United Forming Inc,3/6/2014,3/6/2014
Private Sound Amplification,Rooster Teeth Production,5/27/2011,5/27/2011
Outdoor Music Venue,THE CONTEMPORARY AUSTIN,7/10/2015,8/30/2015
Outdoor Music Venue,,2/10/2021,5/13/2021
Concrete Pouring,,8/9/2012,8/9/2012
Moving Vehicle,,3/5/2013,3/8/2013
Public Sound Amplification,Congress Avenue Baptist Church,2/21/2014,3/12/2014
Concrete Pouring,Capform,4/16/2014,4/16/2014
Government Amplified Sound,Health Alliance for Austin Musicians,9/23/2013,9/23/2013
Private Sound Amplification,High Beams Events,2/26/2018,2/26/2018
Advertising Sound Amplification,Creative Many Michigan,3/6/2018,3/6/2018
Advertising Sound Amplification,The Gingerman,1/13/2014,3/10/2014
Concrete Pouring,Keystone Concrete Placement,3/23/2023,3/23/2023
Concrete Pouring,JE Dunn Construction,3/4/2021,3/4/2021
Outdoor Music Venue,Friends Bar,8/22/2022,9/15/2022
Concrete Pouring,Keystone Concrete Placement,7/27/2020,7/28/2020
Outdoor Music Venue,411 First Floor Inc.,12/6/2017,
Advertising Sound Amplification,Wonderland Austin,2/2/2016,3/7/2016
Public Sound Amplification,,6/17/2011,6/17/2011
Advertising Sound Amplification,Rally Marketing Group,11/14/2012,11/15/2012
Concrete Pouring,Gilbane,8/15/2017,8/15/2017
Outdoor Music Venue,Key Bar,5/1/2019,5/22/2019
Advertising Sound Amplification,CHERRYWOOD COFFEEHOUSE,10/17/2011,11/14/2011
Private Sound Amplification,"ZEN MEN, LLC DBA THE WAR HORSE",5/16/2012,6/5/2012
Outdoor Music Venue,Cedar Street Courtyard,2/14/2017,4/5/2017
Outdoor Music Venue,,5/28/2021,6/24/2021
Outdoor Music Venue,,12/28/2016,3/6/2017
Outdoor Music Venue,Nook LLC,8/3/2015,8/30/2015
Government Amplified Sound,Jewish Community Center of Austin,4/25/2014,5/15/2014
Concrete Pouring,Largo Concrete,8/12/2020,8/12/2020
Outdoor Music Venue,,2/28/2024,5/28/2024
Concrete Pouring,JE Dunn Construction,12/20/2023,12/20/2023
Private Sound Amplification,"C3 Presents, LLC  Shows Account",3/7/2012,
Outdoor Music Venue,Redrum Bar llc DBA Green Light Social,6/16/2017,2/8/2018
Outdoor Music Venue,Little Woodrows,6/24/2024,9/3/2024
Concrete Pouring,Stewart Builders,11/20/2020,11/20/2020
Concrete Pouring,TAS Commercial Concrete Construction LLC,1/20/2021,1/20/2021
Concrete Pouring,DPR Construction,4/7/2020,4/7/2020
Outdoor Music Venue,,8/14/2013,10/4/2013
Concrete Pouring,Keystone Concrete Placement,3/19/2020,3/19/2020
Concrete Pouring,Beck Commercial Construction LLC,6/20/2016,6/20/2016
Concrete Pouring,Hensel Phelps Construction,1/30/2020,2/4/2020
Advertising Sound Amplification,Mobi,3/5/2014,3/10/2014
Outdoor Music Venue,Radio East,9/26/2023,11/28/2023
Public Sound Amplification,Hustle for the Cause,4/4/2018,
Concrete Pouring,JE Dunn Construction,7/20/2023,7/20/2023
Outdoor Music Venue,Realhart LLC,7/9/2021,9/1/2021
Advertising Sound Amplification,Mercury Permits Inc.,1/6/2015,3/6/2015
Outdoor Music Venue,Rio Equity LLC,9/2/2014,9/26/2014
Outdoor Music Venue,Key Bar,11/13/2013,12/5/2013
Outdoor Music Venue,,1/26/2024,3/11/2024
Concrete Pouring,JE Dunn,10/6/2023,
Concrete Pouring,Austin Commercial,3/22/2017,3/22/2017
Private Sound Amplification,,12/13/2016,12/13/2016
Concrete Pouring,"Balfour Beatty Construction, LLC",4/9/2015,4/9/2015
Advertising Sound Amplification,Rally Marketing Group,11/14/2012,11/15/2012
Concrete Pouring,ROGERS - O'BRIEN CONSTRUCTION,10/25/2016,10/25/2016
Advertising Sound Amplification,Aussie's Bar & Grill,2/13/2013,3/29/2013
Outdoor Music Venue,,4/4/2019,5/24/2019
Concrete Pouring,Capform Inc,10/30/2017,10/30/2017
Concrete Pouring,TAS Commercial Concrete Construction LLC,8/20/2020,8/20/2020
Concrete Pouring,Capform,8/29/2013,8/29/2013
Concrete Pouring,DPR Construction,6/8/2020,6/8/2020
Advertising Sound Amplification,,10/27/2017,10/27/2017
Concrete Pouring,Beck Commercial Construction LLC,10/20/2015,10/20/2015
Concrete Pouring,Capform,4/11/2014,4/11/2014
Concrete Pouring,Harvey-Cleary,8/28/2023,8/28/2023
Outdoor Music Venue,,4/1/2016,
Outdoor Music Venue,,8/4/2023,8/25/2023
Advertising Sound Amplification,Duty Now For The Future,2/15/2017,3/6/2017
Outdoor Music Venue,East Side Drive In,6/2/2011,
Advertising Sound Amplification,Fair Market,10/7/2015,10/7/2015
Concrete Pouring,Baker Concrete Construction,4/28/2022,4/28/2022
Concrete Pouring,Largo Concrete,1/17/2023,1/17/2023
Concrete Pouring,Hensel Phelps Construction,11/30/2020,12/1/2020
Outdoor Music Venue,,3/30/2015,5/12/2015
Outdoor Music Venue,Allan-Thrasher LLC,5/1/2014,6/22/2014
Concrete Pouring,JE Dunn Construction,7/21/2020,7/21/2020
Concrete Pouring,McClone Construction Company,11/17/2020,11/17/2020
Concrete Pouring,Gilbane,3/21/2017,3/21/2017
Concrete Pouring,Austin Commercial,12/12/2018,12/12/2018
Outdoor Music Venue,Pelons/508 - Austin LLC,3/15/2023,4/12/2023
Outdoor Music Venue,Whip In,11/6/2009,4/29/2010
Concrete Pouring,JE Dunn Construction,4/14/2021,4/16/2021
Private Sound Amplification,,4/6/2017,4/6/2017
Concrete Pouring,DPR Construction,1/9/2018,1/9/2018
Concrete Pouring,DPR Construction,1/9/2019,1/9/2019
Concrete Pouring,Beck Commercial Construction LLC,6/27/2016,6/27/2016
Concrete Pouring,TAS Commercial Concrete Construction LLC,10/21/2020,10/21/2020
Outdoor Music Venue,Whisler's,2/16/2017,2/28/2017
Concrete Pouring,JE Dunn Construction,2/7/2024,2/7/2024
Concrete Pouring,The Beck Group,11/12/2021,11/12/2021
Concrete Pouring,JE Dunn Construction,5/17/2024,5/17/2024
Concrete Pouring,JE Dunn,12/20/2024,12/20/2024
Concrete Pouring,Capform Inc,1/9/2018,1/9/2018
Concrete Pouring,Capform Inc,2/3/2023,2/3/2023
Government Amplified Sound,Arthouse At The Jones Center,10/21/2010,10/21/2010
Concrete Pouring,TAS Commercial Concrete Construction LLC,7/16/2021,7/16/2021
Concrete Pouring,Beck Commercial Construction LLC,12/1/2015,12/1/2015
Outdoor Music Venue,City of Austin - Austin Public Library,4/4/2022,6/21/2022
Advertising Sound Amplification,Event Production Services LLC,9/16/2010,9/16/2010
Advertising Sound Amplification,La Barbecue,2/3/2014,3/10/2014
Concrete Pouring,Capform Inc,7/18/2017,7/18/2017
Advertising Sound Amplification,White Mountain Foods,4/14/2011,4/14/2011
Advertising Sound Amplification,,9/27/2016,
Concrete Pouring,Capform Inc,3/5/2018,3/5/2018
Concrete Pouring,DPR Construction,2/28/2023,2/28/2023
Outdoor Music Venue,,10/17/2016,12/2/2016
Advertising Sound Amplification,ATX Brands LLC,2/22/2013,3/29/2013
Outdoor Music Venue,Rally in the Ally DBA Speakeasy,1/19/2018,3/14/2018
Concrete Pouring,"Flintco, LLC",8/27/2021,8/27/2021
Advertising Sound Amplification,,2/27/2013,3/29/2013
Concrete Pouring,Holder Construction Company,7/3/2019,7/3/2019
Concrete Pouring,W Hotels,5/29/2009,6/2/2009
Advertising Sound Amplification,Hotel Vegas,8/21/2013,8/26/2013
Concrete Pouring,Largo Concrete,12/13/2013,12/13/2013
Concrete Pouring,RSI Concrete,8/10/2022,8/10/2022
Government Amplified Sound,St. Edwards Univ,10/13/2014,11/18/2014
Advertising Sound Amplification,,11/12/2014,11/12/2014
Concrete Pouring,Capform Inc,2/5/2024,2/5/2024
Government Amplified Sound,Six Cactus Productions,4/15/2011,4/15/2011
Advertising Sound Amplification,JO'S HOT COFFEE,1/9/2012,4/12/2012
Advertising Sound Amplification,ScoreMore Holdings LLC,5/3/2017,5/4/2017
Concrete Pouring,Gilbane,3/29/2018,3/29/2018
Advertising Sound Amplification,ATX Television Festival,6/7/2016,6/7/2016
Concrete Pouring,"Balfour Beatty Construction, LLC",9/22/2014,9/22/2014
Advertising Sound Amplification,,3/16/2011,3/22/2011
Advertising Sound Amplification,C3 Presents LLC,1/26/2017,3/9/2017
Private Sound Amplification,Perla's Seafood & Oyster Bar,4/16/2010,4/16/2010
Concrete Pouring,JE Dunn,5/18/2023,5/18/2023
Government Amplified Sound,Health Alliance For Austin Musicians,9/16/2010,9/16/2010
Concrete Pouring,JE Dunn Construction,8/3/2015,8/3/2015
Outdoor Music Venue,Banger's Austin,12/19/2023,1/10/2024
Private Sound Amplification,Andrew Anderson,10/4/2010,
Concrete Pouring,Gilbane,6/9/2017,6/9/2017
Concrete Pouring,"Greystar Development & Construction, LP",3/23/2022,3/24/2022
Concrete Pouring,JE Dunn Construction,12/21/2015,12/21/2015
Private Sound Amplification,The White Horse,7/27/2017,8/9/2017
Concrete Pouring,DPR Construction,1/23/2018,1/23/2018
Concrete Pouring,JE Dunn Construction,10/10/2023,10/10/2023
Concrete Pouring,JE DUNN Construction,11/15/2019,11/15/2019
Concrete Pouring,DPR Construction,6/25/2020,6/25/2020
Concrete Pouring,Holder Construction Company,12/31/2019,1/2/2020
Concrete Pouring,Baker Concrete Construction,3/23/2022,3/23/2022
Outdoor Music Venue,,6/21/2024,8/5/2024
Concrete Pouring,Capform Inc,9/18/2018,9/18/2018
Private Sound Amplification,Chick-Fil-A,5/22/2013,5/31/2013
Outdoor Music Venue,,8/29/2017,10/16/2017
Concrete Pouring,Capform Inc,4/11/2023,4/11/2023
